# CFB 2026-09-19 (Week 3) — lines RECOVERED VIA WEB SEARCH SYNTHESIS ONLY.
# Every named source in the operator hierarchy (Covers, Action Network, VegasInsider,
# CBS Sports, FOX Sports, FanDuel) is BLOCKED by the network egress proxy. These values
# come from a search synthesiser that blends sources and does NOT attribute per-number.
# Observed disagreement across repeat queries is up to +/-1.0 point. Treat as LOW
# CONFIDENCE. Spread is from the FAVOURITE's perspective (negative).
away,home,favourite,spread_fav,total,kickoff_et,source_note
Coastal Carolina,Delaware,Delaware,-5.5,57.5,11:30,CBS wk3 board
Akron,Minnesota,Minnesota,-24.5,49.5,12:00,CBS wk3 board
Bowling Green,Iowa State,Iowa State,-23.5,44.5,12:00,CBS wk3 board
Buffalo,Penn State,Penn State,-39.5,48.5,12:00,CBS wk3 board
Kent State,Ohio State,Ohio State,-52.5,58.5,12:00,CBS wk3 board
North Texas,Texas State,Texas State,-3,63.5,12:00,CBS wk3 board
Tulane,Kansas State,Kansas State,-20.5,49.5,12:00,CBS wk3 board
Arizona State,Kansas,Kansas,-6,52.5,12:00,CBS wk3 board (London)
Georgia,Arkansas,Georgia,-24.5,54.5,12:00,FanDuel Research preview
Eastern Michigan,Wisconsin,Wisconsin,-22.5,43.5,12:30,search synthesis
Florida State,Alabama,Alabama,-20,49,15:30,CONFLICT -19.5/-20/-20.5 and 48.5/49/49.5
Miami OH,Cincinnati,Cincinnati,-14.5,51.5,15:30,CBS wk3 board
Utah State,Utah,Utah,-28,56.5,15:30,CBS wk3 board
UTEP,Michigan,Michigan,-35.5,48.5,15:30,CBS wk3 board
Duquesne,Washington State,Washington State,-35.5,52.5,15:30,CBS wk3 board
Wagner,California,California,-38.5,55.5,15:30,CBS wk3 board
Kentucky,Texas A&M,Texas A&M,-16.5,49.5,15:30,CBS wk3 board
Stonehill,UMass,UMass,-13.5,48.5,15:30,CBS wk3 board
SMU,Louisville,Louisville,-1.5,59,15:30,CONFLICT total 58.5/59.5
USC,Rutgers,USC,-23.5,59.5,15:30,CBS wk3 board
Ball State,Liberty,Liberty,-14.5,49.5,16:00,CBS wk3 board
Northern Iowa,Iowa,Iowa,-31.5,48.5,16:00,CBS wk3 board
WKU,Indiana,Indiana,-44.5,60.5,16:00,CBS wk3 board
Louisiana Tech,Baylor,Baylor,-17.5,53.5,16:00,CBS wk3 board
Stanford,Duke,Duke,-9.5,51.5,16:00,CBS wk3 board
Michigan State,Notre Dame,Notre Dame,-29.5,52,19:30,CONFLICT total 51.5/52.5
LSU,Ole Miss,LSU,-3,58.5,19:30,CBS wk3 board
Vanderbilt,NC State,Vanderbilt,-3,51,,search synthesis
Missouri,Troy,Missouri,-27.5,49.5,,search synthesis
Pitt,Syracuse,Pitt,-10.5,51.5,,search synthesis
Miami,Wake Forest,Miami,-21.5,55.5,,search synthesis
South Carolina,Mississippi State,South Carolina,-3.5,58.5,,search synthesis
