# Source: nflverse/nfldata games.csv (reference feed, NOT a sportsbook)
# Commit: ad855ef72bc4199894bf702821547a3383f9839a
# Feed last updated: 2026-09-19T17:55:13+00:00
# This is a DATA FEED, not a sportsbook. No teaser prices come from it.
game_id,season,week,kickoff,away_team,home_team,team,spread,total,sportsbook,captured_at,source_reference,raw_source_value,notes
2026_02_CAR_ATL,2026,2,2026-09-20T13:00:00-04:00,CAR,ATL,ATL,2.5,43.5,NFLVERSE_NFLDATA_FEED,2026-09-19T17:55:13+00:00,nflverse/nfldata@ad855ef72bc4,spread_line=-2.5 total_line=43.5,"reference feed; no book attribution, no documented capture time"
2026_02_CAR_ATL,2026,2,2026-09-20T13:00:00-04:00,CAR,ATL,CAR,-2.5,43.5,NFLVERSE_NFLDATA_FEED,2026-09-19T17:55:13+00:00,nflverse/nfldata@ad855ef72bc4,spread_line=-2.5 total_line=43.5,"reference feed; no book attribution, no documented capture time"
2026_02_NO_BAL,2026,2,2026-09-20T13:00:00-04:00,NO,BAL,BAL,-8.5,46.5,NFLVERSE_NFLDATA_FEED,2026-09-19T17:55:13+00:00,nflverse/nfldata@ad855ef72bc4,spread_line=8.5 total_line=46.5,"reference feed; no book attribution, no documented capture time"
2026_02_NO_BAL,2026,2,2026-09-20T13:00:00-04:00,NO,BAL,NO,8.5,46.5,NFLVERSE_NFLDATA_FEED,2026-09-19T17:55:13+00:00,nflverse/nfldata@ad855ef72bc4,spread_line=8.5 total_line=46.5,"reference feed; no book attribution, no documented capture time"
2026_02_MIN_CHI,2026,2,2026-09-20T13:00:00-04:00,MIN,CHI,CHI,-4.5,47.5,NFLVERSE_NFLDATA_FEED,2026-09-19T17:55:13+00:00,nflverse/nfldata@ad855ef72bc4,spread_line=4.5 total_line=47.5,"reference feed; no book attribution, no documented capture time"
2026_02_MIN_CHI,2026,2,2026-09-20T13:00:00-04:00,MIN,CHI,MIN,4.5,47.5,NFLVERSE_NFLDATA_FEED,2026-09-19T17:55:13+00:00,nflverse/nfldata@ad855ef72bc4,spread_line=4.5 total_line=47.5,"reference feed; no book attribution, no documented capture time"
2026_02_CIN_HOU,2026,2,2026-09-20T13:00:00-04:00,CIN,HOU,HOU,-2.5,45.5,NFLVERSE_NFLDATA_FEED,2026-09-19T17:55:13+00:00,nflverse/nfldata@ad855ef72bc4,spread_line=2.5 total_line=45.5,"reference feed; no book attribution, no documented capture time"
2026_02_CIN_HOU,2026,2,2026-09-20T13:00:00-04:00,CIN,HOU,CIN,2.5,45.5,NFLVERSE_NFLDATA_FEED,2026-09-19T17:55:13+00:00,nflverse/nfldata@ad855ef72bc4,spread_line=2.5 total_line=45.5,"reference feed; no book attribution, no documented capture time"
2026_02_PIT_NE,2026,2,2026-09-20T13:00:00-04:00,PIT,NE,NE,-5.5,41.5,NFLVERSE_NFLDATA_FEED,2026-09-19T17:55:13+00:00,nflverse/nfldata@ad855ef72bc4,spread_line=5.5 total_line=41.5,"reference feed; no book attribution, no documented capture time"
2026_02_PIT_NE,2026,2,2026-09-20T13:00:00-04:00,PIT,NE,PIT,5.5,41.5,NFLVERSE_NFLDATA_FEED,2026-09-19T17:55:13+00:00,nflverse/nfldata@ad855ef72bc4,spread_line=5.5 total_line=41.5,"reference feed; no book attribution, no documented capture time"
