# NFL 2026 Week 2 — SPORTSBOOK BOARD as of 2026-09-20 12:43 PM ET.
# 17 minutes before the 1:00 pm ET kickoffs. Supersedes the 09:44 capture for
# before-bet validation purposes; nothing earlier is overwritten.
# NYG @ LAR (Mon 9/21) is NOT included: its row is cut off in this capture and
# an older line must never be substituted for an unreadable one.
game_id,season,week,kickoff,away_team,home_team,team,spread,total,sportsbook,captured_at,source_reference,raw_source_value,notes
2026_02_GB_NYJ,2026,2,2026-09-20T13:00:00-04:00,GB,NYJ,GB,-3,44,USER_SPORTSBOOK_SCREENSHOT,2026-09-20T12:43:00-04:00,"user sportsbook screenshot (bluecoins.ag, 12:43 PM ET board)",GB -3 -110 (o/u 44),attached screenshots (3): 2-6T teaser menu + Sunday board. NYG/LAR not readable in this capture.
2026_02_GB_NYJ,2026,2,2026-09-20T13:00:00-04:00,GB,NYJ,NYJ,3,44,USER_SPORTSBOOK_SCREENSHOT,2026-09-20T12:43:00-04:00,"user sportsbook screenshot (bluecoins.ag, 12:43 PM ET board)",NYJ +3 -110 (o/u 44),attached screenshots (3): 2-6T teaser menu + Sunday board. NYG/LAR not readable in this capture.
2026_02_MIN_CHI,2026,2,2026-09-20T13:00:00-04:00,MIN,CHI,MIN,4.5,46.5,USER_SPORTSBOOK_SCREENSHOT,2026-09-20T12:43:00-04:00,"user sportsbook screenshot (bluecoins.ag, 12:43 PM ET board)",MIN +4.5 -110 (o/u 46.5),attached screenshots (3): 2-6T teaser menu + Sunday board. NYG/LAR not readable in this capture.
2026_02_MIN_CHI,2026,2,2026-09-20T13:00:00-04:00,MIN,CHI,CHI,-4.5,46.5,USER_SPORTSBOOK_SCREENSHOT,2026-09-20T12:43:00-04:00,"user sportsbook screenshot (bluecoins.ag, 12:43 PM ET board)",CHI -4.5 -110 (o/u 46.5),attached screenshots (3): 2-6T teaser menu + Sunday board. NYG/LAR not readable in this capture.
2026_02_PIT_NE,2026,2,2026-09-20T13:00:00-04:00,PIT,NE,PIT,4.5,41.5,USER_SPORTSBOOK_SCREENSHOT,2026-09-20T12:43:00-04:00,"user sportsbook screenshot (bluecoins.ag, 12:43 PM ET board)",PIT +4.5 -110 (o/u 41.5),attached screenshots (3): 2-6T teaser menu + Sunday board. NYG/LAR not readable in this capture.
2026_02_PIT_NE,2026,2,2026-09-20T13:00:00-04:00,PIT,NE,NE,-4.5,41.5,USER_SPORTSBOOK_SCREENSHOT,2026-09-20T12:43:00-04:00,"user sportsbook screenshot (bluecoins.ag, 12:43 PM ET board)",NE -4.5 -110 (o/u 41.5),attached screenshots (3): 2-6T teaser menu + Sunday board. NYG/LAR not readable in this capture.
2026_02_CAR_ATL,2026,2,2026-09-20T13:00:00-04:00,CAR,ATL,CAR,-2.5,43.5,USER_SPORTSBOOK_SCREENSHOT,2026-09-20T12:43:00-04:00,"user sportsbook screenshot (bluecoins.ag, 12:43 PM ET board)",CAR -2.5 -110 (o/u 43.5),attached screenshots (3): 2-6T teaser menu + Sunday board. NYG/LAR not readable in this capture.
2026_02_CAR_ATL,2026,2,2026-09-20T13:00:00-04:00,CAR,ATL,ATL,2.5,43.5,USER_SPORTSBOOK_SCREENSHOT,2026-09-20T12:43:00-04:00,"user sportsbook screenshot (bluecoins.ag, 12:43 PM ET board)",ATL +2.5 -110 (o/u 43.5),attached screenshots (3): 2-6T teaser menu + Sunday board. NYG/LAR not readable in this capture.
2026_02_CLE_TB,2026,2,2026-09-20T13:00:00-04:00,CLE,TB,CLE,8.5,41.5,USER_SPORTSBOOK_SCREENSHOT,2026-09-20T12:43:00-04:00,"user sportsbook screenshot (bluecoins.ag, 12:43 PM ET board)",CLE +8.5 -110 (o/u 41.5),attached screenshots (3): 2-6T teaser menu + Sunday board. NYG/LAR not readable in this capture.
2026_02_CLE_TB,2026,2,2026-09-20T13:00:00-04:00,CLE,TB,TB,-8.5,41.5,USER_SPORTSBOOK_SCREENSHOT,2026-09-20T12:43:00-04:00,"user sportsbook screenshot (bluecoins.ag, 12:43 PM ET board)",TB -8.5 -110 (o/u 41.5),attached screenshots (3): 2-6T teaser menu + Sunday board. NYG/LAR not readable in this capture.
2026_02_CIN_HOU,2026,2,2026-09-20T13:00:00-04:00,CIN,HOU,CIN,3,45.5,USER_SPORTSBOOK_SCREENSHOT,2026-09-20T12:43:00-04:00,"user sportsbook screenshot (bluecoins.ag, 12:43 PM ET board)",CIN +3 -120 (o/u 45.5),attached screenshots (3): 2-6T teaser menu + Sunday board. NYG/LAR not readable in this capture.
2026_02_CIN_HOU,2026,2,2026-09-20T13:00:00-04:00,CIN,HOU,HOU,-3,45.5,USER_SPORTSBOOK_SCREENSHOT,2026-09-20T12:43:00-04:00,"user sportsbook screenshot (bluecoins.ag, 12:43 PM ET board)",HOU -3 +100 (o/u 45.5),attached screenshots (3): 2-6T teaser menu + Sunday board. NYG/LAR not readable in this capture.
2026_02_NO_BAL,2026,2,2026-09-20T13:00:00-04:00,NO,BAL,NO,8.5,45,USER_SPORTSBOOK_SCREENSHOT,2026-09-20T12:43:00-04:00,"user sportsbook screenshot (bluecoins.ag, 12:43 PM ET board)",NO +8.5 -110 (o/u 45),attached screenshots (3): 2-6T teaser menu + Sunday board. NYG/LAR not readable in this capture.
2026_02_NO_BAL,2026,2,2026-09-20T13:00:00-04:00,NO,BAL,BAL,-8.5,45,USER_SPORTSBOOK_SCREENSHOT,2026-09-20T12:43:00-04:00,"user sportsbook screenshot (bluecoins.ag, 12:43 PM ET board)",BAL -8.5 -110 (o/u 45),attached screenshots (3): 2-6T teaser menu + Sunday board. NYG/LAR not readable in this capture.
2026_02_PHI_TEN,2026,2,2026-09-20T13:00:00-04:00,PHI,TEN,PHI,-7,39.5,USER_SPORTSBOOK_SCREENSHOT,2026-09-20T12:43:00-04:00,"user sportsbook screenshot (bluecoins.ag, 12:43 PM ET board)",PHI -7 +100 (o/u 39.5),attached screenshots (3): 2-6T teaser menu + Sunday board. NYG/LAR not readable in this capture.
2026_02_PHI_TEN,2026,2,2026-09-20T13:00:00-04:00,PHI,TEN,TEN,7,39.5,USER_SPORTSBOOK_SCREENSHOT,2026-09-20T12:43:00-04:00,"user sportsbook screenshot (bluecoins.ag, 12:43 PM ET board)",TEN +7 -120 (o/u 39.5),attached screenshots (3): 2-6T teaser menu + Sunday board. NYG/LAR not readable in this capture.
2026_02_LV_LAC,2026,2,2026-09-20T16:05:00-04:00,LV,LAC,LV,6.5,43.5,USER_SPORTSBOOK_SCREENSHOT,2026-09-20T12:43:00-04:00,"user sportsbook screenshot (bluecoins.ag, 12:43 PM ET board)",LV +6.5 -110 (o/u 43.5),attached screenshots (3): 2-6T teaser menu + Sunday board. NYG/LAR not readable in this capture.
2026_02_LV_LAC,2026,2,2026-09-20T16:05:00-04:00,LV,LAC,LAC,-6.5,43.5,USER_SPORTSBOOK_SCREENSHOT,2026-09-20T12:43:00-04:00,"user sportsbook screenshot (bluecoins.ag, 12:43 PM ET board)",LAC -6.5 -110 (o/u 43.5),attached screenshots (3): 2-6T teaser menu + Sunday board. NYG/LAR not readable in this capture.
2026_02_JAX_DEN,2026,2,2026-09-20T16:05:00-04:00,JAX,DEN,JAX,2.5,45.5,USER_SPORTSBOOK_SCREENSHOT,2026-09-20T12:43:00-04:00,"user sportsbook screenshot (bluecoins.ag, 12:43 PM ET board)",JAX +2.5 -110 (o/u 45.5),attached screenshots (3): 2-6T teaser menu + Sunday board. NYG/LAR not readable in this capture.
