leg_id,season,week,game_type,gameday,game_id,league,team,opponent,side,archived_reference_line,source_spread_line,teased_line,game_total,geometry_class,track,shape,secondary_reason,key_numbers_crossed,p_raw,bump,p_est,total_ok,final_margin,home_score,away_score,outcome,won,cover_margin,total_bucket,p_est_bucket,line_provenance
2024_01_ARI_BUF-ARI,2024,1,REG,2024-09-08,2024_01_ARI_BUF,NFL,ARI,BUF,away,6.5,6.5,12.5,46.0,SECONDARY,PAPER,6.5,other_half_point_shape,1,0.6681398851771989,0.04,0.708139885177199,True,-6,34,28,WIN,1.0,6.5,45.5-47,70-71.9%,archived_reference_line
2024_01_ARI_BUF-BUF,2024,1,REG,2024-09-08,2024_01_ARI_BUF,NFL,BUF,ARI,home,-6.5,6.5,-0.5,46.0,SECONDARY,PAPER,-6.5,other_half_point_shape,1,0.6681398851771989,0.04,0.708139885177199,True,6,34,28,WIN,1.0,5.5,45.5-47,70-71.9%,archived_reference_line
2024_01_BAL_KC-BAL,2024,1,REG,2024-09-05,2024_01_BAL_KC,NFL,BAL,KC,away,3.0,3.0,9.0,46.0,SECONDARY,PAPER,3.0,whole_number_line,2,0.6681398851771989,0.07,0.738139885177199,True,-7,27,20,WIN,1.0,2.0,45.5-47,72-73.9%,archived_reference_line
2024_01_BAL_KC-KC,2024,1,REG,2024-09-05,2024_01_BAL_KC,NFL,KC,BAL,home,-3.0,3.0,3.0,46.0,SECONDARY,PAPER,-3.0,whole_number_line,1,0.6681398851771989,0.04,0.708139885177199,True,7,27,20,WIN,1.0,10.0,45.5-47,70-71.9%,archived_reference_line
2024_01_CAR_NO-CAR,2024,1,REG,2024-09-08,2024_01_CAR_NO,NFL,CAR,NO,away,3.5,3.5,9.5,41.5,SECONDARY,PAPER,3.5,other_half_point_shape,1,0.6850713499837193,0.04,0.7250713499837194,True,-37,47,10,LOSS,0.0,-27.5,40.5-43,72-73.9%,archived_reference_line
2024_01_CAR_NO-NO,2024,1,REG,2024-09-08,2024_01_CAR_NO,NFL,NO,CAR,home,-3.5,3.5,2.5,41.5,SECONDARY,PAPER,-3.5,other_half_point_shape,1,0.6850713499837193,0.04,0.7250713499837194,True,37,47,10,WIN,1.0,39.5,40.5-43,72-73.9%,archived_reference_line
2024_01_DAL_CLE-DAL,2024,1,REG,2024-09-08,2024_01_DAL_CLE,NFL,DAL,CLE,away,2.5,2.5,8.5,42.0,PRIMARY,LIVE,+2.5,,2,0.6830306580593271,0.07,0.7530306580593271,True,16,17,33,WIN,1.0,24.5,40.5-43,>=74%,archived_reference_line
2024_01_DAL_CLE-CLE,2024,1,REG,2024-09-08,2024_01_DAL_CLE,NFL,CLE,DAL,home,-2.5,2.5,3.5,42.0,SECONDARY,PAPER,-2.5,other_half_point_shape,1,0.6830306580593271,0.04,0.7230306580593271,True,-16,17,33,LOSS,0.0,-12.5,40.5-43,72-73.9%,archived_reference_line
2024_01_DEN_SEA-DEN,2024,1,REG,2024-09-08,2024_01_DEN_SEA,NFL,DEN,SEA,away,6.5,6.5,12.5,42.0,SECONDARY,PAPER,6.5,other_half_point_shape,1,0.6830306580593271,0.04,0.7230306580593271,True,-6,26,20,WIN,1.0,6.5,40.5-43,72-73.9%,archived_reference_line
2024_01_DEN_SEA-SEA,2024,1,REG,2024-09-08,2024_01_DEN_SEA,NFL,SEA,DEN,home,-6.5,6.5,-0.5,42.0,SECONDARY,PAPER,-6.5,other_half_point_shape,1,0.6830306580593271,0.04,0.7230306580593271,True,6,26,20,WIN,1.0,5.5,40.5-43,72-73.9%,archived_reference_line
