leg_id,season,week,game_type,gameday,game_id,league,team,opponent,side,archived_reference_line,source_spread_line,teased_line,game_total,geometry_class,track,shape,secondary_reason,key_numbers_crossed,p_raw,bump,p_est,total_ok,final_margin,home_score,away_score,outcome,won,cover_margin,total_bucket,p_est_bucket,line_provenance
2024_01_DAL_CLE-DAL,2024,1,REG,2024-09-08,2024_01_DAL_CLE,NFL,DAL,CLE,away,2.5,2.5,8.5,42.0,PRIMARY,LIVE,+2.5,,2,0.6830306580593271,0.07,0.7530306580593271,True,16,17,33,WIN,1.0,24.5,40.5-43,>=74%,archived_reference_line
2024_02_NYG_WAS-NYG,2024,2,REG,2024-09-15,2024_02_NYG_WAS,NFL,NYG,WAS,away,1.5,1.5,7.5,42.5,PRIMARY,LIVE,+1.5,,2,0.6810325947045215,0.07,0.7510325947045215,True,-3,21,18,WIN,1.0,4.5,40.5-43,>=74%,archived_reference_line
2024_03_CHI_IND-CHI,2024,3,REG,2024-09-22,2024_03_CHI_IND,NFL,CHI,IND,away,1.5,1.5,7.5,43.0,PRIMARY,LIVE,+1.5,,2,0.6790759056139628,0.07,0.7490759056139629,True,-5,21,16,WIN,1.0,2.5,40.5-43,>=74%,archived_reference_line
2024_03_WAS_CIN-CIN,2024,3,REG,2024-09-23,2024_03_WAS_CIN,NFL,CIN,WAS,home,-7.5,7.5,-1.5,46.0,PRIMARY,LIVE,-7.5,,2,0.6681398851771989,0.07,0.738139885177199,True,-5,33,38,LOSS,0.0,-6.5,45.5-47,72-73.9%,archived_reference_line
2024_04_BUF_BAL-BUF,2024,4,REG,2024-09-29,2024_04_BUF_BAL,NFL,BUF,BAL,away,2.5,2.5,8.5,46.5,PRIMARY,LIVE,+2.5,,2,0.6664412874896358,0.07,0.7364412874896358,True,-25,35,10,LOSS,0.0,-16.5,45.5-47,72-73.9%,archived_reference_line
2024_04_CLE_LV-LV,2024,4,REG,2024-09-29,2024_04_CLE_LV,NFL,LV,CLE,home,2.5,-2.5,8.5,36.5,PRIMARY,LIVE,+2.5,,2,0.7081352362117709,0.07,0.7781352362117708,True,4,20,16,WIN,1.0,12.5,<=40,>=74%,archived_reference_line
2024_04_DEN_NYJ-NYJ,2024,4,REG,2024-09-29,2024_04_DEN_NYJ,NFL,NYJ,DEN,home,-7.5,7.5,-1.5,39.5,PRIMARY,LIVE,-7.5,,2,0.6936871859805309,0.07,0.763687185980531,True,-1,9,10,LOSS,0.0,-2.5,<=40,>=74%,archived_reference_line
2024_04_KC_LAC-KC,2024,4,REG,2024-09-29,2024_04_KC_LAC,NFL,KC,LAC,away,-7.5,-7.5,-1.5,41.5,PRIMARY,LIVE,-7.5,,2,0.6850713499837193,0.07,0.7550713499837194,True,7,10,17,WIN,1.0,5.5,40.5-43,>=74%,archived_reference_line
2024_04_MIN_GB-MIN,2024,4,REG,2024-09-29,2024_04_MIN_GB,NFL,MIN,GB,away,2.5,2.5,8.5,44.0,PRIMARY,LIVE,+2.5,,2,0.6752818581366227,0.07,0.7452818581366227,True,2,29,31,WIN,1.0,10.5,43.5-45,>=74%,archived_reference_line
2024_04_NO_ATL-NO,2024,4,REG,2024-09-29,2024_04_NO_ATL,NFL,NO,ATL,away,2.5,2.5,8.5,41.5,PRIMARY,LIVE,+2.5,,2,0.6850713499837193,0.07,0.7550713499837194,True,-2,26,24,WIN,1.0,6.5,40.5-43,>=74%,archived_reference_line
