leg_id,season,week,game_type,gameday,game_id,league,team,opponent,side,archived_reference_line,source_spread_line,teased_line,game_total,geometry_class,track,shape,side_class,secondary_reason,key_numbers_crossed,p_raw,bump,p_est,total_ok,final_margin,home_score,away_score,outcome,won,cover_margin,total_bucket,p_est_bucket,line_provenance
2025_01_LV_NE-LV,2025,1,REG,2025-09-07,2025_01_LV_NE,NFL,LV,NE,away,2.5,2.5,8.5,44.5,PRIMARY,LIVE,+2.5,DOG,,2,0.6734422108808652,0.07,0.7434422108808652,True,7,13,20,WIN,1.0,15.5,43.5-45,>=74%,archived_reference_line
2025_01_MIN_CHI-CHI,2025,1,REG,2025-09-08,2025_01_MIN_CHI,NFL,CHI,MIN,home,1.5,-1.5,7.5,43.5,PRIMARY,LIVE,+1.5,DOG,,2,0.6771593818727903,0.07,0.7471593818727904,True,-3,24,27,WIN,1.0,4.5,43.5-45,>=74%,archived_reference_line
2025_01_SF_SEA-SEA,2025,1,REG,2025-09-07,2025_01_SF_SEA,NFL,SEA,SF,home,2.5,-2.5,8.5,43.5,PRIMARY,LIVE,+2.5,DOG,,2,0.6771593818727903,0.07,0.7471593818727904,True,-4,13,17,WIN,1.0,4.5,43.5-45,>=74%,archived_reference_line
2025_01_TEN_DEN-DEN,2025,1,REG,2025-09-07,2025_01_TEN_DEN,NFL,DEN,TEN,home,-8.5,8.5,-2.5,42.5,PRIMARY,LIVE,-8.5,FAVORITE,,2,0.6810325947045215,0.07,0.7510325947045215,True,8,20,12,WIN,1.0,5.5,40.5-43,>=74%,archived_reference_line
2025_02_DEN_IND-IND,2025,2,REG,2025-09-14,2025_02_DEN_IND,NFL,IND,DEN,home,2.5,-2.5,8.5,43.5,PRIMARY,LIVE,+2.5,DOG,,2,0.6771593818727903,0.07,0.7471593818727904,True,1,29,28,WIN,1.0,9.5,43.5-45,>=74%,archived_reference_line
2025_02_NE_MIA-NE,2025,2,REG,2025-09-14,2025_02_NE_MIA,NFL,NE,MIA,away,1.5,1.5,7.5,43.5,PRIMARY,LIVE,+1.5,DOG,,2,0.6771593818727903,0.07,0.7471593818727904,True,6,27,33,WIN,1.0,13.5,43.5-45,>=74%,archived_reference_line
2025_02_PHI_KC-KC,2025,2,REG,2025-09-14,2025_02_PHI_KC,NFL,KC,PHI,home,1.5,-1.5,7.5,46.5,PRIMARY,LIVE,+1.5,DOG,,2,0.6664412874896358,0.07,0.7364412874896358,True,-3,17,20,WIN,1.0,4.5,45.5-47,72-73.9%,archived_reference_line
2025_02_TB_HOU-TB,2025,2,REG,2025-09-15,2025_02_TB_HOU,NFL,TB,HOU,away,2.5,2.5,8.5,42.5,PRIMARY,LIVE,+2.5,DOG,,2,0.6810325947045215,0.07,0.7510325947045215,True,1,19,20,WIN,1.0,9.5,40.5-43,>=74%,archived_reference_line
2025_03_ARI_SF-ARI,2025,3,REG,2025-09-21,2025_03_ARI_SF,NFL,ARI,SF,away,1.5,1.5,7.5,44.5,PRIMARY,LIVE,+1.5,DOG,,2,0.6734422108808652,0.07,0.7434422108808652,True,-1,16,15,WIN,1.0,6.5,43.5-45,>=74%,archived_reference_line
2025_03_DEN_LAC-DEN,2025,3,REG,2025-09-21,2025_03_DEN_LAC,NFL,DEN,LAC,away,2.5,2.5,8.5,45.5,PRIMARY,LIVE,+2.5,DOG,,2,0.6698722507821999,0.07,0.7398722507822,True,-3,23,20,WIN,1.0,5.5,45.5-47,72-73.9%,archived_reference_line
2025_03_GB_CLE-GB,2025,3,REG,2025-09-21,2025_03_GB_CLE,NFL,GB,CLE,away,-8.5,-8.5,-2.5,41.5,PRIMARY,LIVE,-8.5,FAVORITE,,2,0.6850713499837193,0.07,0.7550713499837194,True,-3,13,10,LOSS,0.0,-5.5,40.5-43,>=74%,archived_reference_line
2025_03_HOU_JAX-HOU,2025,3,REG,2025-09-21,2025_03_HOU_JAX,NFL,HOU,JAX,away,1.5,1.5,7.5,43.5,PRIMARY,LIVE,+1.5,DOG,,2,0.6771593818727903,0.07,0.7471593818727904,True,-7,17,10,WIN,1.0,0.5,43.5-45,>=74%,archived_reference_line
2025_03_LV_WAS-LV,2025,3,REG,2025-09-21,2025_03_LV_WAS,NFL,LV,WAS,away,2.5,2.5,8.5,43.5,PRIMARY,LIVE,+2.5,DOG,,2,0.6771593818727903,0.07,0.7471593818727904,True,-17,41,24,LOSS,0.0,-8.5,43.5-45,>=74%,archived_reference_line
2025_03_NO_SEA-SEA,2025,3,REG,2025-09-21,2025_03_NO_SEA,NFL,SEA,NO,home,-7.5,7.5,-1.5,41.5,PRIMARY,LIVE,-7.5,FAVORITE,,2,0.6850713499837193,0.07,0.7550713499837194,True,31,44,13,WIN,1.0,29.5,40.5-43,>=74%,archived_reference_line
2025_03_PIT_NE-NE,2025,3,REG,2025-09-21,2025_03_PIT_NE,NFL,NE,PIT,home,1.5,-1.5,7.5,44.5,PRIMARY,LIVE,+1.5,DOG,,2,0.6734422108808652,0.07,0.7434422108808652,True,-7,14,21,WIN,1.0,0.5,43.5-45,>=74%,archived_reference_line
2025_04_CIN_DEN-DEN,2025,4,REG,2025-09-29,2025_04_CIN_DEN,NFL,DEN,CIN,home,-7.5,7.5,-1.5,44.5,PRIMARY,LIVE,-7.5,FAVORITE,,2,0.6734422108808652,0.07,0.7434422108808652,True,25,28,3,WIN,1.0,23.5,43.5-45,>=74%,archived_reference_line
2025_04_MIN_PIT-PIT,2025,4,REG,2025-09-28,2025_04_MIN_PIT,NFL,PIT,MIN,home,2.5,-2.5,8.5,41.5,PRIMARY,LIVE,+2.5,DOG,,2,0.6850713499837193,0.07,0.7550713499837194,True,3,24,21,WIN,1.0,11.5,40.5-43,>=74%,archived_reference_line
2025_04_NYJ_MIA-NYJ,2025,4,REG,2025-09-29,2025_04_NYJ_MIA,NFL,NYJ,MIA,away,2.5,2.5,8.5,44.5,PRIMARY,LIVE,+2.5,DOG,,2,0.6734422108808652,0.07,0.7434422108808652,True,-6,27,21,WIN,1.0,2.5,43.5-45,>=74%,archived_reference_line
2025_04_SEA_ARI-ARI,2025,4,REG,2025-09-25,2025_04_SEA_ARI,NFL,ARI,SEA,home,1.5,-1.5,7.5,43.5,PRIMARY,LIVE,+1.5,DOG,,2,0.6771593818727903,0.07,0.7471593818727904,True,-3,20,23,WIN,1.0,4.5,43.5-45,>=74%,archived_reference_line
2025_04_TEN_HOU-HOU,2025,4,REG,2025-09-28,2025_04_TEN_HOU,NFL,HOU,TEN,home,-7.5,7.5,-1.5,39.5,PRIMARY,LIVE,-7.5,FAVORITE,,2,0.6936871859805309,0.07,0.763687185980531,True,26,26,0,WIN,1.0,24.5,<=40,>=74%,archived_reference_line
2025_04_WAS_ATL-WAS,2025,4,REG,2025-09-28,2025_04_WAS_ATL,NFL,WAS,ATL,away,2.5,2.5,8.5,43.5,PRIMARY,LIVE,+2.5,DOG,,2,0.6771593818727903,0.07,0.7471593818727904,True,-7,34,27,WIN,1.0,1.5,43.5-45,>=74%,archived_reference_line
2025_05_HOU_BAL-BAL,2025,5,REG,2025-10-05,2025_05_HOU_BAL,NFL,BAL,HOU,home,2.5,-2.5,8.5,41.5,PRIMARY,LIVE,+2.5,DOG,,2,0.6850713499837193,0.07,0.7550713499837194,True,-34,10,44,LOSS,0.0,-25.5,40.5-43,>=74%,archived_reference_line
2025_05_MIA_CAR-CAR,2025,5,REG,2025-10-05,2025_05_MIA_CAR,NFL,CAR,MIA,home,1.5,-1.5,7.5,44.5,PRIMARY,LIVE,+1.5,DOG,,2,0.6734422108808652,0.07,0.7434422108808652,True,3,27,24,WIN,1.0,10.5,43.5-45,>=74%,archived_reference_line
2025_05_NYG_NO-NYG,2025,5,REG,2025-10-05,2025_05_NYG_NO,NFL,NYG,NO,away,1.5,1.5,7.5,41.5,PRIMARY,LIVE,+1.5,DOG,,2,0.6850713499837193,0.07,0.7550713499837194,True,-12,26,14,LOSS,0.0,-4.5,40.5-43,>=74%,archived_reference_line
2025_05_SF_LA-LA,2025,5,REG,2025-10-02,2025_05_SF_LA,NFL,LA,SF,home,-8.5,8.5,-2.5,43.5,PRIMARY,LIVE,-8.5,FAVORITE,,2,0.6771593818727903,0.07,0.7471593818727904,True,-3,23,26,LOSS,0.0,-5.5,43.5-45,>=74%,archived_reference_line
2025_05_TEN_ARI-ARI,2025,5,REG,2025-10-05,2025_05_TEN_ARI,NFL,ARI,TEN,home,-7.5,7.5,-1.5,41.5,PRIMARY,LIVE,-7.5,FAVORITE,,2,0.6850713499837193,0.07,0.7550713499837194,True,-1,21,22,LOSS,0.0,-2.5,40.5-43,>=74%,archived_reference_line
2025_06_ARI_IND-IND,2025,6,REG,2025-10-12,2025_06_ARI_IND,NFL,IND,ARI,home,-8.5,8.5,-2.5,46.5,PRIMARY,LIVE,-8.5,FAVORITE,,2,0.6664412874896358,0.07,0.7364412874896358,True,4,31,27,WIN,1.0,1.5,45.5-47,72-73.9%,archived_reference_line
2025_06_DEN_NYJ-DEN,2025,6,REG,2025-10-12,2025_06_DEN_NYJ,NFL,DEN,NYJ,away,-7.5,-7.5,-1.5,43.5,PRIMARY,LIVE,-7.5,FAVORITE,,2,0.6771593818727903,0.07,0.7471593818727904,True,2,11,13,WIN,1.0,0.5,43.5-45,>=74%,archived_reference_line
2025_07_ATL_SF-ATL,2025,7,REG,2025-10-19,2025_07_ATL_SF,NFL,ATL,SF,away,1.5,1.5,7.5,46.5,PRIMARY,LIVE,+1.5,DOG,,2,0.6664412874896358,0.07,0.7364412874896358,True,-10,20,10,LOSS,0.0,-2.5,45.5-47,72-73.9%,archived_reference_line
2025_07_CAR_NYJ-CAR,2025,7,REG,2025-10-19,2025_07_CAR_NYJ,NFL,CAR,NYJ,away,1.5,1.5,7.5,39.5,PRIMARY,LIVE,+1.5,DOG,,2,0.6936871859805309,0.07,0.763687185980531,True,7,6,13,WIN,1.0,14.5,<=40,>=74%,archived_reference_line
