season,week,n_legs,leg_ids,teams,shapes,game_ids,predicted_p_ticket,outcome,won,n_legs_winning,same_game_legs
2025,1,2,2025_01_TEN_DEN-DEN|2025_01_MIN_CHI-CHI,DEN|CHI,-8.5|+1.5,2025_01_TEN_DEN|2025_01_MIN_CHI,0.5611410492257483,WIN,1,2,False
2025,1,2,2025_01_TEN_DEN-DEN|2025_01_SF_SEA-SEA,DEN|SEA,-8.5|+2.5,2025_01_TEN_DEN|2025_01_SF_SEA,0.5611410492257483,WIN,1,2,False
2025,1,2,2025_01_TEN_DEN-DEN|2025_01_LV_NE-LV,DEN|LV,-8.5|+2.5,2025_01_TEN_DEN|2025_01_LV_NE,0.5583493326507223,WIN,1,2,False
2025,1,2,2025_01_MIN_CHI-CHI|2025_01_SF_SEA-SEA,CHI|SEA,+1.5|+2.5,2025_01_MIN_CHI|2025_01_SF_SEA,0.5582471419205303,WIN,1,2,False
2025,1,2,2025_01_MIN_CHI-CHI|2025_01_LV_NE-LV,CHI|LV,+1.5|+2.5,2025_01_MIN_CHI|2025_01_LV_NE,0.5554698227398879,WIN,1,2,False
2025,1,2,2025_01_SF_SEA-SEA|2025_01_LV_NE-LV,SEA|LV,+2.5|+2.5,2025_01_SF_SEA|2025_01_LV_NE,0.5554698227398879,WIN,1,2,False
2025,1,3,2025_01_TEN_DEN-DEN|2025_01_MIN_CHI-CHI|2025_01_SF_SEA-SEA,DEN|CHI|SEA,-8.5|+1.5|+2.5,2025_01_TEN_DEN|2025_01_MIN_CHI|2025_01_SF_SEA,0.4192617994829591,WIN,1,3,False
2025,1,3,2025_01_TEN_DEN-DEN|2025_01_MIN_CHI-CHI|2025_01_LV_NE-LV,DEN|CHI|LV,-8.5|+1.5|+2.5,2025_01_TEN_DEN|2025_01_MIN_CHI|2025_01_LV_NE,0.4171759422523987,WIN,1,3,False
2025,1,3,2025_01_TEN_DEN-DEN|2025_01_SF_SEA-SEA|2025_01_LV_NE-LV,DEN|SEA|LV,-8.5|+2.5|+2.5,2025_01_TEN_DEN|2025_01_SF_SEA|2025_01_LV_NE,0.4171759422523987,WIN,1,3,False
2025,1,3,2025_01_MIN_CHI-CHI|2025_01_SF_SEA-SEA|2025_01_LV_NE-LV,CHI|SEA|LV,+1.5|+2.5|+2.5,2025_01_MIN_CHI|2025_01_SF_SEA|2025_01_LV_NE,0.4150244894073231,WIN,1,3,False
2025,2,2,2025_02_TB_HOU-TB|2025_02_DEN_IND-IND,TB|IND,+2.5|+2.5,2025_02_TB_HOU|2025_02_DEN_IND,0.5611410492257483,WIN,1,2,False
2025,2,2,2025_02_TB_HOU-TB|2025_02_NE_MIA-NE,TB|NE,+2.5|+1.5,2025_02_TB_HOU|2025_02_NE_MIA,0.5611410492257483,WIN,1,2,False
2025,2,2,2025_02_TB_HOU-TB|2025_02_PHI_KC-KC,TB|KC,+2.5|+1.5,2025_02_TB_HOU|2025_02_PHI_KC,0.5530914109908797,WIN,1,2,False
2025,2,2,2025_02_DEN_IND-IND|2025_02_NE_MIA-NE,IND|NE,+2.5|+1.5,2025_02_DEN_IND|2025_02_NE_MIA,0.5582471419205303,WIN,1,2,False
2025,2,2,2025_02_DEN_IND-IND|2025_02_PHI_KC-KC,IND|KC,+2.5|+1.5,2025_02_DEN_IND|2025_02_PHI_KC,0.5502390171463583,WIN,1,2,False
2025,2,2,2025_02_NE_MIA-NE|2025_02_PHI_KC-KC,NE|KC,+1.5|+1.5,2025_02_NE_MIA|2025_02_PHI_KC,0.5502390171463583,WIN,1,2,False
2025,2,3,2025_02_TB_HOU-TB|2025_02_DEN_IND-IND|2025_02_NE_MIA-NE,TB|IND|NE,+2.5|+2.5|+1.5,2025_02_TB_HOU|2025_02_DEN_IND|2025_02_NE_MIA,0.4192617994829591,WIN,1,3,False
