season,week,n_qualifying_legs,n_top_legs,constructible,n_tickets_2team,n_tickets_3team,n_legs_winning
2025,1,4,4,True,6,4,4
2025,2,4,4,True,6,4,4
2025,3,7,4,True,6,4,5
2025,4,6,4,True,6,4,6
2025,5,5,4,True,6,4,1
2025,6,2,2,True,1,0,2
2025,7,5,4,True,6,4,2
2025,8,2,2,True,1,0,0
2025,9,2,2,True,1,0,2
2025,10,3,3,True,3,1,3
2025,11,3,3,True,3,1,3
2025,12,1,1,False,0,0,1
2025,13,0,0,False,0,0,0
2025,14,6,4,True,6,4,4
2025,15,4,4,True,6,4,4
2025,16,3,3,True,3,1,3
2025,17,3,3,True,3,1,2
2025,18,0,0,False,0,0,0
2025,19,1,1,False,0,0,1
2025,20,1,1,False,0,0,1
2025,21,1,1,False,0,0,1
2025,22,0,0,False,0,0,0
