leg_id,season,week,game_type,gameday,game_id,league,team,opponent,side,archived_reference_line,source_spread_line,teased_line,game_total,geometry_class,track,shape,side_class,secondary_reason,key_numbers_crossed,p_raw,bump,p_est,total_ok,final_margin,home_score,away_score,outcome,won,cover_margin,total_bucket,p_est_bucket,line_provenance
2018_01_BUF_BAL-BAL,2018,1,REG,2018-09-09,2018_01_BUF_BAL,NFL,BAL,BUF,home,-7.5,7.5,-1.5,39.0,PRIMARY,LIVE,-7.5,FAVORITE,,2,0.6959615602670386,0.07,0.7659615602670387,True,44,47,3,WIN,1.0,42.5,<=40,>=74%,archived_reference_line
2018_01_DAL_CAR-DAL,2018,1,REG,2018-09-09,2018_01_DAL_CAR,NFL,DAL,CAR,away,2.5,2.5,8.5,42.5,PRIMARY,LIVE,+2.5,DOG,,2,0.6810325947045215,0.07,0.7510325947045215,True,-8,16,8,WIN,1.0,0.5,40.5-43,>=74%,archived_reference_line
2018_01_JAX_NYG-NYG,2018,1,REG,2018-09-09,2018_01_JAX_NYG,NFL,NYG,JAX,home,2.5,-2.5,8.5,43.0,PRIMARY,LIVE,+2.5,DOG,,2,0.6790759056139628,0.07,0.7490759056139629,True,-5,15,20,WIN,1.0,3.5,40.5-43,>=74%,archived_reference_line
2018_02_LAC_BUF-LAC,2018,2,REG,2018-09-16,2018_02_LAC_BUF,NFL,LAC,BUF,away,-7.5,-7.5,-1.5,41.5,PRIMARY,LIVE,-7.5,FAVORITE,,2,0.6850713499837193,0.07,0.7550713499837194,True,11,20,31,WIN,1.0,9.5,40.5-43,>=74%,archived_reference_line
2018_03_CIN_CAR-CIN,2018,3,REG,2018-09-23,2018_03_CIN_CAR,NFL,CIN,CAR,away,2.5,2.5,8.5,44.0,PRIMARY,LIVE,+2.5,DOG,,2,0.6752818581366227,0.07,0.7452818581366227,True,-10,31,21,LOSS,0.0,-1.5,43.5-45,>=74%,archived_reference_line
2018_03_GB_WAS-WAS,2018,3,REG,2018-09-23,2018_03_GB_WAS,NFL,WAS,GB,home,2.5,-2.5,8.5,46.5,PRIMARY,LIVE,+2.5,DOG,,2,0.6664412874896358,0.07,0.7364412874896358,True,14,31,17,WIN,1.0,22.5,45.5-47,72-73.9%,archived_reference_line
2018_04_BUF_GB-GB,2018,4,REG,2018-09-30,2018_04_BUF_GB,NFL,GB,BUF,home,-8.5,8.5,-2.5,44.0,PRIMARY,LIVE,-8.5,FAVORITE,,2,0.6752818581366227,0.07,0.7452818581366227,True,22,22,0,WIN,1.0,19.5,43.5-45,>=74%,archived_reference_line
2018_04_CLE_OAK-CLE,2018,4,REG,2018-09-30,2018_04_CLE_OAK,NFL,CLE,OAK,away,2.5,2.5,8.5,44.5,PRIMARY,LIVE,+2.5,DOG,,2,0.6734422108808652,0.07,0.7434422108808652,True,-3,45,42,WIN,1.0,5.5,43.5-45,>=74%,archived_reference_line
2018_04_DET_DAL-DET,2018,4,REG,2018-09-30,2018_04_DET_DAL,NFL,DET,DAL,away,2.5,2.5,8.5,44.0,PRIMARY,LIVE,+2.5,DOG,,2,0.6752818581366227,0.07,0.7452818581366227,True,-2,26,24,WIN,1.0,6.5,43.5-45,>=74%,archived_reference_line
2018_04_NYJ_JAX-JAX,2018,4,REG,2018-09-30,2018_04_NYJ_JAX,NFL,JAX,NYJ,home,-7.5,7.5,-1.5,40.5,PRIMARY,LIVE,-7.5,FAVORITE,,2,0.6892858751269062,0.07,0.7592858751269063,True,19,31,12,WIN,1.0,17.5,40.5-43,>=74%,archived_reference_line
2018_06_BAL_TEN-TEN,2018,6,REG,2018-10-14,2018_06_BAL_TEN,NFL,TEN,BAL,home,2.5,-2.5,8.5,43.5,PRIMARY,LIVE,+2.5,DOG,,2,0.6771593818727903,0.07,0.7471593818727904,True,-21,0,21,LOSS,0.0,-12.5,43.5-45,>=74%,archived_reference_line
2018_06_CHI_MIA-CHI,2018,6,REG,2018-10-14,2018_06_CHI_MIA,NFL,CHI,MIA,away,-7.5,-7.5,-1.5,40.5,PRIMARY,LIVE,-7.5,FAVORITE,,2,0.6892858751269062,0.07,0.7592858751269063,True,-3,31,28,LOSS,0.0,-4.5,40.5-43,>=74%,archived_reference_line
2018_06_PHI_NYG-NYG,2018,6,REG,2018-10-11,2018_06_PHI_NYG,NFL,NYG,PHI,home,1.5,-1.5,7.5,45.5,PRIMARY,LIVE,+1.5,DOG,,2,0.6698722507821999,0.07,0.7398722507822,True,-21,13,34,LOSS,0.0,-13.5,45.5-47,72-73.9%,archived_reference_line
2018_07_DAL_WAS-WAS,2018,7,REG,2018-10-21,2018_07_DAL_WAS,NFL,WAS,DAL,home,1.5,-1.5,7.5,40.5,PRIMARY,LIVE,+1.5,DOG,,2,0.6892858751269062,0.07,0.7592858751269063,True,3,20,17,WIN,1.0,10.5,40.5-43,>=74%,archived_reference_line
2018_08_BAL_CAR-CAR,2018,8,REG,2018-10-28,2018_08_BAL_CAR,NFL,CAR,BAL,home,2.5,-2.5,8.5,44.0,PRIMARY,LIVE,+2.5,DOG,,2,0.6752818581366227,0.07,0.7452818581366227,True,15,36,21,WIN,1.0,23.5,43.5-45,>=74%,archived_reference_line
2018_08_MIA_HOU-HOU,2018,8,REG,2018-10-25,2018_08_MIA_HOU,NFL,HOU,MIA,home,-7.5,7.5,-1.5,45.0,PRIMARY,LIVE,-7.5,FAVORITE,,2,0.6716393567181147,0.07,0.7416393567181148,True,19,42,23,WIN,1.0,17.5,43.5-45,>=74%,archived_reference_line
2018_08_NYJ_CHI-CHI,2018,8,REG,2018-10-28,2018_08_NYJ_CHI,NFL,CHI,NYJ,home,-8.5,8.5,-2.5,42.5,PRIMARY,LIVE,-8.5,FAVORITE,,2,0.6810325947045215,0.07,0.7510325947045215,True,14,24,10,WIN,1.0,11.5,40.5-43,>=74%,archived_reference_line
2018_08_SF_ARI-ARI,2018,8,REG,2018-10-28,2018_08_SF_ARI,NFL,ARI,SF,home,2.5,-2.5,8.5,40.0,PRIMARY,LIVE,+2.5,DOG,,2,0.6914624612740131,0.07,0.7614624612740131,True,3,18,15,WIN,1.0,11.5,<=40,>=74%,archived_reference_line
2018_09_ATL_WAS-ATL,2018,9,REG,2018-11-04,2018_09_ATL_WAS,NFL,ATL,WAS,away,1.5,1.5,7.5,46.5,PRIMARY,LIVE,+1.5,DOG,,2,0.6664412874896358,0.07,0.7364412874896358,True,24,14,38,WIN,1.0,31.5,45.5-47,72-73.9%,archived_reference_line
2018_09_OAK_SF-SF,2018,9,REG,2018-11-01,2018_09_OAK_SF,NFL,SF,OAK,home,1.5,-1.5,7.5,44.0,PRIMARY,LIVE,+1.5,DOG,,2,0.6752818581366227,0.07,0.7452818581366227,True,31,34,3,WIN,1.0,38.5,43.5-45,>=74%,archived_reference_line
2018_09_PIT_BAL-PIT,2018,9,REG,2018-11-04,2018_09_PIT_BAL,NFL,PIT,BAL,away,1.5,1.5,7.5,47.0,PRIMARY,LIVE,+1.5,DOG,,2,0.664775519361947,0.07,0.734775519361947,True,7,16,23,WIN,1.0,14.5,45.5-47,72-73.9%,archived_reference_line
2018_10_DAL_PHI-PHI,2018,10,REG,2018-11-11,2018_10_DAL_PHI,NFL,PHI,DAL,home,-7.5,7.5,-1.5,45.5,PRIMARY,LIVE,-7.5,FAVORITE,,2,0.6698722507821999,0.07,0.7398722507822,True,-7,20,27,LOSS,0.0,-8.5,45.5-47,72-73.9%,archived_reference_line
2018_10_DET_CHI-CHI,2018,10,REG,2018-11-11,2018_10_DET_CHI,NFL,CHI,DET,home,-7.5,7.5,-1.5,44.5,PRIMARY,LIVE,-7.5,FAVORITE,,2,0.6734422108808652,0.07,0.7434422108808652,True,12,34,22,WIN,1.0,10.5,43.5-45,>=74%,archived_reference_line
2018_11_DEN_LAC-LAC,2018,11,REG,2018-11-18,2018_11_DEN_LAC,NFL,LAC,DEN,home,-7.5,7.5,-1.5,47.0,PRIMARY,LIVE,-7.5,FAVORITE,,2,0.664775519361947,0.07,0.734775519361947,True,-1,22,23,LOSS,0.0,-2.5,45.5-47,72-73.9%,archived_reference_line
2018_11_MIN_CHI-MIN,2018,11,REG,2018-11-18,2018_11_MIN_CHI,NFL,MIN,CHI,away,2.5,2.5,8.5,44.0,PRIMARY,LIVE,+2.5,DOG,,2,0.6752818581366227,0.07,0.7452818581366227,True,-5,25,20,WIN,1.0,3.5,43.5-45,>=74%,archived_reference_line
2018_13_BAL_ATL-BAL,2018,13,REG,2018-12-02,2018_13_BAL_ATL,NFL,BAL,ATL,away,2.5,2.5,8.5,46.5,PRIMARY,LIVE,+2.5,DOG,,2,0.6664412874896358,0.07,0.7364412874896358,True,10,16,26,WIN,1.0,18.5,45.5-47,72-73.9%,archived_reference_line
2018_14_DET_ARI-ARI,2018,14,REG,2018-12-09,2018_14_DET_ARI,NFL,ARI,DET,home,2.5,-2.5,8.5,40.0,PRIMARY,LIVE,+2.5,DOG,,2,0.6914624612740131,0.07,0.7614624612740131,True,-14,3,17,LOSS,0.0,-5.5,<=40,>=74%,archived_reference_line
2018_15_DET_BUF-DET,2018,15,REG,2018-12-16,2018_15_DET_BUF,NFL,DET,BUF,away,2.5,2.5,8.5,40.0,PRIMARY,LIVE,+2.5,DOG,,2,0.6914624612740131,0.07,0.7614624612740131,True,-1,14,13,WIN,1.0,7.5,<=40,>=74%,archived_reference_line
2018_15_MIA_MIN-MIN,2018,15,REG,2018-12-16,2018_15_MIA_MIN,NFL,MIN,MIA,home,-7.5,7.5,-1.5,45.0,PRIMARY,LIVE,-7.5,FAVORITE,,2,0.6716393567181147,0.07,0.7416393567181148,True,24,41,17,WIN,1.0,22.5,43.5-45,>=74%,archived_reference_line
2018_15_TB_BAL-BAL,2018,15,REG,2018-12-16,2018_15_TB_BAL,NFL,BAL,TB,home,-8.5,8.5,-2.5,44.5,PRIMARY,LIVE,-8.5,FAVORITE,,2,0.6734422108808652,0.07,0.7434422108808652,True,8,20,12,WIN,1.0,5.5,43.5-45,>=74%,archived_reference_line
2018_15_TEN_NYG-NYG,2018,15,REG,2018-12-16,2018_15_TEN_NYG,NFL,NYG,TEN,home,2.5,-2.5,8.5,42.0,PRIMARY,LIVE,+2.5,DOG,,2,0.6830306580593271,0.07,0.7530306580593271,True,-17,0,17,LOSS,0.0,-8.5,40.5-43,>=74%,archived_reference_line
2018_15_WAS_JAX-JAX,2018,15,REG,2018-12-16,2018_15_WAS_JAX,NFL,JAX,WAS,home,-7.5,7.5,-1.5,36.0,PRIMARY,LIVE,-7.5,FAVORITE,,2,0.710742639246028,0.07,0.7807426392460279,True,-3,13,16,LOSS,0.0,-4.5,<=40,>=74%,archived_reference_line
2018_16_ATL_CAR-CAR,2018,16,REG,2018-12-23,2018_16_ATL_CAR,NFL,CAR,ATL,home,2.5,-2.5,8.5,46.5,PRIMARY,LIVE,+2.5,DOG,,2,0.6664412874896358,0.07,0.7364412874896358,True,-14,10,24,LOSS,0.0,-5.5,45.5-47,72-73.9%,archived_reference_line
2018_16_DEN_OAK-OAK,2018,16,REG,2018-12-24,2018_16_DEN_OAK,NFL,OAK,DEN,home,2.5,-2.5,8.5,42.5,PRIMARY,LIVE,+2.5,DOG,,2,0.6810325947045215,0.07,0.7510325947045215,True,13,27,14,WIN,1.0,21.5,40.5-43,>=74%,archived_reference_line
2018_17_DAL_NYG-NYG,2018,17,REG,2018-12-30,2018_17_DAL_NYG,NFL,NYG,DAL,home,-7.5,7.5,-1.5,38.5,PRIMARY,LIVE,-7.5,FAVORITE,,2,0.6982871529359227,0.07,0.7682871529359228,True,-1,35,36,LOSS,0.0,-2.5,<=40,>=74%,archived_reference_line
2018_17_DET_GB-GB,2018,17,REG,2018-12-30,2018_17_DET_GB,NFL,GB,DET,home,-7.5,7.5,-1.5,44.5,PRIMARY,LIVE,-7.5,FAVORITE,,2,0.6734422108808652,0.07,0.7434422108808652,True,-31,0,31,LOSS,0.0,-32.5,43.5-45,>=74%,archived_reference_line
