leg_id,season,week,game_type,gameday,game_id,league,team,opponent,side,archived_reference_line,source_spread_line,teased_line,game_total,geometry_class,track,shape,side_class,secondary_reason,key_numbers_crossed,p_raw,bump,p_est,total_ok,final_margin,home_score,away_score,outcome,won,cover_margin,total_bucket,p_est_bucket,line_provenance
2023_01_BUF_NYJ-NYJ,2023,1,REG,2023-09-11,2023_01_BUF_NYJ,NFL,NYJ,BUF,home,2.5,-2.5,8.5,44.5,PRIMARY,LIVE,+2.5,DOG,,2,0.6734422108808652,0.07,0.7434422108808652,True,6,22,16,WIN,1.0,14.5,43.5-45,>=74%,archived_reference_line
2023_01_SF_PIT-PIT,2023,1,REG,2023-09-10,2023_01_SF_PIT,NFL,PIT,SF,home,1.5,-1.5,7.5,41.5,PRIMARY,LIVE,+1.5,DOG,,2,0.6850713499837193,0.07,0.7550713499837194,True,-23,7,30,LOSS,0.0,-15.5,40.5-43,>=74%,archived_reference_line
2023_02_CHI_TB-CHI,2023,2,REG,2023-09-17,2023_02_CHI_TB,NFL,CHI,TB,away,2.5,2.5,8.5,41.0,PRIMARY,LIVE,+2.5,DOG,,2,0.6871559720637167,0.07,0.7571559720637167,True,-10,27,17,LOSS,0.0,-1.5,40.5-43,>=74%,archived_reference_line
2023_02_CLE_PIT-PIT,2023,2,REG,2023-09-18,2023_02_CLE_PIT,NFL,PIT,CLE,home,2.5,-2.5,8.5,39.0,PRIMARY,LIVE,+2.5,DOG,,2,0.6959615602670386,0.07,0.7659615602670387,True,4,26,22,WIN,1.0,12.5,<=40,>=74%,archived_reference_line
2023_02_LAC_TEN-TEN,2023,2,REG,2023-09-17,2023_02_LAC_TEN,NFL,TEN,LAC,home,2.5,-2.5,8.5,45.5,PRIMARY,LIVE,+2.5,DOG,,2,0.6698722507821999,0.07,0.7398722507822,True,3,27,24,WIN,1.0,11.5,45.5-47,72-73.9%,archived_reference_line
2023_02_LV_BUF-BUF,2023,2,REG,2023-09-17,2023_02_LV_BUF,NFL,BUF,LV,home,-7.5,7.5,-1.5,47.0,PRIMARY,LIVE,-7.5,FAVORITE,,2,0.664775519361947,0.07,0.734775519361947,True,28,38,10,WIN,1.0,26.5,45.5-47,72-73.9%,archived_reference_line
2023_02_NYJ_DAL-DAL,2023,2,REG,2023-09-17,2023_02_NYJ_DAL,NFL,DAL,NYJ,home,-8.5,8.5,-2.5,38.5,PRIMARY,LIVE,-8.5,FAVORITE,,2,0.6982871529359227,0.07,0.7682871529359228,True,20,30,10,WIN,1.0,17.5,<=40,>=74%,archived_reference_line
2023_02_SF_LA-SF,2023,2,REG,2023-09-17,2023_02_SF_LA,NFL,SF,LA,away,-7.5,-7.5,-1.5,45.0,PRIMARY,LIVE,-7.5,FAVORITE,,2,0.6716393567181147,0.07,0.7416393567181148,True,7,23,30,WIN,1.0,5.5,43.5-45,>=74%,archived_reference_line
2023_03_HOU_JAX-JAX,2023,3,REG,2023-09-24,2023_03_HOU_JAX,NFL,JAX,HOU,home,-7.5,7.5,-1.5,43.5,PRIMARY,LIVE,-7.5,FAVORITE,,2,0.6771593818727903,0.07,0.7471593818727904,True,-20,17,37,LOSS,0.0,-21.5,43.5-45,>=74%,archived_reference_line
2023_03_IND_BAL-BAL,2023,3,REG,2023-09-24,2023_03_IND_BAL,NFL,BAL,IND,home,-7.5,7.5,-1.5,43.5,PRIMARY,LIVE,-7.5,FAVORITE,,2,0.6771593818727903,0.07,0.7471593818727904,True,-3,19,22,LOSS,0.0,-4.5,43.5-45,>=74%,archived_reference_line
2023_03_NE_NYJ-NYJ,2023,3,REG,2023-09-24,2023_03_NE_NYJ,NFL,NYJ,NE,home,2.5,-2.5,8.5,35.5,PRIMARY,LIVE,+2.5,DOG,,2,0.7134120193515978,0.07,0.7834120193515979,True,-5,10,15,WIN,1.0,3.5,<=40,>=74%,archived_reference_line
2023_03_NO_GB-GB,2023,3,REG,2023-09-24,2023_03_NO_GB,NFL,GB,NO,home,1.5,-1.5,7.5,41.5,PRIMARY,LIVE,+1.5,DOG,,2,0.6850713499837193,0.07,0.7550713499837194,True,1,18,17,WIN,1.0,8.5,40.5-43,>=74%,archived_reference_line
2023_04_CIN_TEN-TEN,2023,4,REG,2023-10-01,2023_04_CIN_TEN,NFL,TEN,CIN,home,2.5,-2.5,8.5,41.5,PRIMARY,LIVE,+2.5,DOG,,2,0.6850713499837193,0.07,0.7550713499837194,True,24,27,3,WIN,1.0,32.5,40.5-43,>=74%,archived_reference_line
