season,week,n_legs,leg_ids,teams,shapes,game_ids,predicted_p_ticket,outcome,won,n_legs_winning,same_game_legs
2021,3,2,2021_03_CIN_PIT-CIN|2021_03_CHI_CLE-CLE,CIN|CLE,+2.5|-7.5,2021_03_CIN_PIT|2021_03_CHI_CLE,0.5569953304109979,WIN,1,2,False
2021,3,2,2021_03_CIN_PIT-CIN|2021_03_WAS_BUF-BUF,CIN|BUF,+2.5|-7.5,2021_03_CIN_PIT|2021_03_WAS_BUF,0.5556681762548301,WIN,1,2,False
2021,3,2,2021_03_CHI_CLE-CLE|2021_03_WAS_BUF-BUF,CLE|BUF,-7.5|-7.5,2021_03_CHI_CLE|2021_03_WAS_BUF,0.5487183801236944,WIN,1,2,False
2021,3,3,2021_03_CIN_PIT-CIN|2021_03_CHI_CLE-CLE|2021_03_WAS_BUF-BUF,CIN|CLE|BUF,+2.5|-7.5|-7.5,2021_03_CIN_PIT|2021_03_CHI_CLE|2021_03_WAS_BUF,0.41210538878636016,WIN,1,3,False
2021,4,2,2021_04_IND_MIA-IND|2021_04_NYG_NO-NO,IND|NO,+2.5|-7.5,2021_04_IND_MIA|2021_04_NYG_NO,0.5656057552922121,LOSS,0,1,False
2021,4,2,2021_04_IND_MIA-IND|2021_04_JAX_CIN-CIN,IND|CIN,+2.5|-7.5,2021_04_IND_MIA|2021_04_JAX_CIN,0.5573482795775753,WIN,1,2,False
2021,4,2,2021_04_NYG_NO-NO|2021_04_JAX_CIN-CIN,NO|CIN,-7.5|-7.5,2021_04_NYG_NO|2021_04_JAX_CIN,0.5529228029588968,LOSS,0,1,False
2021,4,3,2021_04_IND_MIA-IND|2021_04_NYG_NO-NO|2021_04_JAX_CIN-CIN,IND|NO|CIN,+2.5|-7.5|-7.5,2021_04_IND_MIA|2021_04_NYG_NO|2021_04_JAX_CIN,0.4174961672669564,LOSS,0,2,False
2021,5,2,2021_05_NO_WAS-WAS|2021_05_PHI_CAR-PHI,WAS|PHI,+2.5|+2.5,2021_05_NO_WAS|2021_05_PHI_CAR,0.5515081403446485,LOSS,0,1,False
2021,5,2,2021_05_NO_WAS-WAS|2021_05_CLE_LAC-CLE,WAS|CLE,+2.5|+2.5,2021_05_NO_WAS|2021_05_CLE_LAC,0.5502390171463583,LOSS,0,1,False
2021,5,2,2021_05_NO_WAS-WAS|2021_05_IND_BAL-BAL,WAS|BAL,+2.5|-7.5,2021_05_NO_WAS|2021_05_IND_BAL,0.5502390171463583,LOSS,0,1,False
2021,5,2,2021_05_PHI_CAR-PHI|2021_05_CLE_LAC-CLE,PHI|CLE,+2.5|+2.5,2021_05_PHI_CAR|2021_05_CLE_LAC,0.5435966873873483,WIN,1,2,False
2021,5,2,2021_05_PHI_CAR-PHI|2021_05_IND_BAL-BAL,PHI|BAL,+2.5|-7.5,2021_05_PHI_CAR|2021_05_IND_BAL,0.5435966873873483,WIN,1,2,False
2021,5,2,2021_05_CLE_LAC-CLE|2021_05_IND_BAL-BAL,CLE|BAL,+2.5|-7.5,2021_05_CLE_LAC|2021_05_IND_BAL,0.5423457699193923,WIN,1,2,False
2021,5,3,2021_05_NO_WAS-WAS|2021_05_PHI_CAR-PHI|2021_05_CLE_LAC-CLE,WAS|PHI|CLE,+2.5|+2.5|+2.5,2021_05_NO_WAS|2021_05_PHI_CAR|2021_05_CLE_LAC,0.4061533649364277,LOSS,0,2,False
2021,5,3,2021_05_NO_WAS-WAS|2021_05_PHI_CAR-PHI|2021_05_IND_BAL-BAL,WAS|PHI|BAL,+2.5|+2.5|-7.5,2021_05_NO_WAS|2021_05_PHI_CAR|2021_05_IND_BAL,0.4061533649364277,LOSS,0,2,False
2021,5,3,2021_05_NO_WAS-WAS|2021_05_CLE_LAC-CLE|2021_05_IND_BAL-BAL,WAS|CLE|BAL,+2.5|+2.5|-7.5,2021_05_NO_WAS|2021_05_CLE_LAC|2021_05_IND_BAL,0.40521873021429583,LOSS,0,2,False
2021,5,3,2021_05_PHI_CAR-PHI|2021_05_CLE_LAC-CLE|2021_05_IND_BAL-BAL,PHI|CLE|BAL,+2.5|+2.5|-7.5,2021_05_PHI_CAR|2021_05_CLE_LAC|2021_05_IND_BAL,0.4003270443346399,WIN,1,3,False
2021,10,2,2021_10_CLE_NE-CLE|2021_10_BAL_MIA-BAL,CLE|BAL,+2.5|-8.5,2021_10_CLE_NE|2021_10_BAL_MIA,0.5448724729438981,LOSS,0,0,False
2021,11,2,2021_11_NO_PHI-NO|2021_11_ARI_SEA-ARI,NO|ARI,+2.5|+2.5,2021_11_NO_PHI|2021_11_ARI_SEA,0.5543671132195294,LOSS,0,1,False
2021,12,2,2021_12_TEN_NE-NE|2021_12_ATL_JAX-JAX,NE|JAX,-7.5|+1.5,2021_12_TEN_NE|2021_12_ATL_JAX,0.5529228029588968,WIN,1,2,False
2021,13,2,2021_13_ARI_CHI-ARI|2021_13_DEN_KC-KC,ARI|KC,-7.5|-8.5,2021_13_ARI_CHI|2021_13_DEN_KC,0.5502390171463583,WIN,1,2,False
2021,14,2,2021_14_ATL_CAR-ATL|2021_14_JAX_TEN-TEN,ATL|TEN,+2.5|-8.5,2021_14_ATL_CAR|2021_14_JAX_TEN,0.5629017098527,WIN,1,2,False
2021,16,2,2021_16_DET_ATL-ATL|2021_16_JAX_NYJ-JAX,ATL|JAX,-7.5|+2.5,2021_16_DET_ATL|2021_16_JAX_NYJ,0.5640499583086062,WIN,1,2,False
2021,16,2,2021_16_DET_ATL-ATL|2021_16_BAL_CIN-CIN,ATL|CIN,-7.5|-7.5,2021_16_DET_ATL|2021_16_BAL_CIN,0.5625804210238938,WIN,1,2,False
