leg_id,season,week,game_type,gameday,game_id,league,team,opponent,side,archived_reference_line,source_spread_line,teased_line,game_total,geometry_class,track,shape,side_class,secondary_reason,key_numbers_crossed,p_raw,bump,p_est,total_ok,final_margin,home_score,away_score,outcome,won,cover_margin,total_bucket,p_est_bucket,line_provenance,rank
2019_01_BUF_NYJ-BUF,2019,1,REG,2019-09-08,2019_01_BUF_NYJ,NFL,BUF,NYJ,away,2.5,2.5,8.5,41.0,PRIMARY,LIVE,+2.5,DOG,,2,0.6871559720637167,0.07,0.7571559720637167,True,1,16,17,WIN,1.0,9.5,40.5-43,>=74%,archived_reference_line,1
2019_01_DET_ARI-ARI,2019,1,REG,2019-09-08,2019_01_DET_ARI,NFL,ARI,DET,home,2.5,-2.5,8.5,45.5,PRIMARY,LIVE,+2.5,DOG,,2,0.6698722507821999,0.07,0.7398722507822,True,0,27,27,WIN,1.0,8.5,45.5-47,72-73.9%,archived_reference_line,2
2019_02_JAX_HOU-HOU,2019,2,REG,2019-09-15,2019_02_JAX_HOU,NFL,HOU,JAX,home,-7.5,7.5,-1.5,43.0,PRIMARY,LIVE,-7.5,FAVORITE,,2,0.6790759056139628,0.07,0.7490759056139629,True,1,13,12,LOSS,0.0,-0.5,40.5-43,>=74%,archived_reference_line,1
2019_03_TEN_JAX-JAX,2019,3,REG,2019-09-19,2019_03_TEN_JAX,NFL,JAX,TEN,home,1.5,-1.5,7.5,38.0,PRIMARY,LIVE,+1.5,DOG,,2,0.7006655928711173,0.07,0.7706655928711172,True,13,20,7,WIN,1.0,20.5,<=40,>=74%,archived_reference_line,1
2019_03_OAK_MIN-MIN,2019,3,REG,2019-09-22,2019_03_OAK_MIN,NFL,MIN,OAK,home,-8.5,8.5,-2.5,43.0,PRIMARY,LIVE,-8.5,FAVORITE,,2,0.6790759056139628,0.07,0.7490759056139629,True,20,34,14,WIN,1.0,17.5,40.5-43,>=74%,archived_reference_line,2
2019_03_CAR_ARI-CAR,2019,3,REG,2019-09-22,2019_03_CAR_ARI,NFL,CAR,ARI,away,2.5,2.5,8.5,46.0,PRIMARY,LIVE,+2.5,DOG,,2,0.6681398851771989,0.07,0.738139885177199,True,18,20,38,WIN,1.0,26.5,45.5-47,72-73.9%,archived_reference_line,3
2019_04_JAX_DEN-JAX,2019,4,REG,2019-09-29,2019_04_JAX_DEN,NFL,JAX,DEN,away,2.5,2.5,8.5,37.0,PRIMARY,LIVE,+2.5,DOG,,2,0.7055878446841711,0.07,0.7755878446841711,True,2,24,26,WIN,1.0,10.5,<=40,>=74%,archived_reference_line,1
2019_04_CLE_BAL-BAL,2019,4,REG,2019-09-29,2019_04_CLE_BAL,NFL,BAL,CLE,home,-7.5,7.5,-1.5,47.0,PRIMARY,LIVE,-7.5,FAVORITE,,2,0.664775519361947,0.07,0.734775519361947,True,-15,25,40,LOSS,0.0,-16.5,45.5-47,72-73.9%,archived_reference_line,2
2019_04_DAL_NO-NO,2019,4,REG,2019-09-29,2019_04_DAL_NO,NFL,NO,DAL,home,2.5,-2.5,8.5,47.0,PRIMARY,LIVE,+2.5,DOG,,2,0.664775519361947,0.07,0.734775519361947,True,2,12,10,WIN,1.0,10.5,45.5-47,72-73.9%,archived_reference_line,3
2019_06_NO_JAX-NO,2019,6,REG,2019-10-13,2019_06_NO_JAX,NFL,NO,JAX,away,2.5,2.5,8.5,42.5,PRIMARY,LIVE,+2.5,DOG,,2,0.6810325947045215,0.07,0.7510325947045215,True,7,6,13,WIN,1.0,15.5,40.5-43,>=74%,archived_reference_line,1
2019_07_MIN_DET-DET,2019,7,REG,2019-10-20,2019_07_MIN_DET,NFL,DET,MIN,home,2.5,-2.5,8.5,43.5,PRIMARY,LIVE,+2.5,DOG,,2,0.6771593818727903,0.07,0.7471593818727904,True,-12,30,42,LOSS,0.0,-3.5,43.5-45,>=74%,archived_reference_line,1
2019_07_HOU_IND-HOU,2019,7,REG,2019-10-20,2019_07_HOU_IND,NFL,HOU,IND,away,1.5,1.5,7.5,46.5,PRIMARY,LIVE,+1.5,DOG,,2,0.6664412874896358,0.07,0.7364412874896358,True,-7,30,23,WIN,1.0,0.5,45.5-47,72-73.9%,archived_reference_line,2
2019_11_JAX_IND-JAX,2019,11,REG,2019-11-17,2019_11_JAX_IND,NFL,JAX,IND,away,2.5,2.5,8.5,41.5,PRIMARY,LIVE,+2.5,DOG,,2,0.6850713499837193,0.07,0.7550713499837194,True,-20,33,13,LOSS,0.0,-11.5,40.5-43,>=74%,archived_reference_line,1
2019_11_DAL_DET-DAL,2019,11,REG,2019-11-17,2019_11_DAL_DET,NFL,DAL,DET,away,-7.5,-7.5,-1.5,46.5,PRIMARY,LIVE,-7.5,FAVORITE,,2,0.6664412874896358,0.07,0.7364412874896358,True,8,27,35,WIN,1.0,6.5,45.5-47,72-73.9%,archived_reference_line,2
2019_13_NYJ_CIN-CIN,2019,13,REG,2019-12-01,2019_13_NYJ_CIN,NFL,CIN,NYJ,home,2.5,-2.5,8.5,43.0,PRIMARY,LIVE,+2.5,DOG,,2,0.6790759056139628,0.07,0.7490759056139629,True,16,22,6,WIN,1.0,24.5,40.5-43,>=74%,archived_reference_line,1
2019_13_LA_ARI-ARI,2019,13,REG,2019-12-01,2019_13_LA_ARI,NFL,ARI,LA,home,2.5,-2.5,8.5,47.0,PRIMARY,LIVE,+2.5,DOG,,2,0.664775519361947,0.07,0.734775519361947,True,-27,7,34,LOSS,0.0,-18.5,45.5-47,72-73.9%,archived_reference_line,2
2019_14_PIT_ARI-ARI,2019,14,REG,2019-12-08,2019_14_PIT_ARI,NFL,ARI,PIT,home,2.5,-2.5,8.5,43.5,PRIMARY,LIVE,+2.5,DOG,,2,0.6771593818727903,0.07,0.7471593818727904,True,-6,17,23,WIN,1.0,2.5,43.5-45,>=74%,archived_reference_line,1
2019_16_OAK_LAC-LAC,2019,16,REG,2019-12-22,2019_16_OAK_LAC,NFL,LAC,OAK,home,-7.5,7.5,-1.5,45.0,PRIMARY,LIVE,-7.5,FAVORITE,,2,0.6716393567181147,0.07,0.7416393567181148,True,-7,17,24,LOSS,0.0,-8.5,43.5-45,>=74%,archived_reference_line,1
2019_16_CAR_IND-IND,2019,16,REG,2019-12-22,2019_16_CAR_IND,NFL,IND,CAR,home,-7.5,7.5,-1.5,46.0,PRIMARY,LIVE,-7.5,FAVORITE,,2,0.6681398851771989,0.07,0.738139885177199,True,32,38,6,WIN,1.0,30.5,45.5-47,72-73.9%,archived_reference_line,2
2019_16_CIN_MIA-MIA,2019,16,REG,2019-12-22,2019_16_CIN_MIA,NFL,MIA,CIN,home,1.5,-1.5,7.5,46.0,PRIMARY,LIVE,+1.5,DOG,,2,0.6681398851771989,0.07,0.738139885177199,True,3,38,35,WIN,1.0,10.5,45.5-47,72-73.9%,archived_reference_line,3
2019_17_NYJ_BUF-BUF,2019,17,REG,2019-12-29,2019_17_NYJ_BUF,NFL,BUF,NYJ,home,1.5,-1.5,7.5,37.0,PRIMARY,LIVE,+1.5,DOG,,2,0.7055878446841711,0.07,0.7755878446841711,True,-7,6,13,WIN,1.0,0.5,<=40,>=74%,archived_reference_line,1
2019_17_CLE_CIN-CIN,2019,17,REG,2019-12-29,2019_17_CLE_CIN,NFL,CIN,CLE,home,2.5,-2.5,8.5,44.0,PRIMARY,LIVE,+2.5,DOG,,2,0.6752818581366227,0.07,0.7452818581366227,True,10,33,23,WIN,1.0,18.5,43.5-45,>=74%,archived_reference_line,2
2019_18_BUF_HOU-BUF,2019,18,WC,2020-01-04,2019_18_BUF_HOU,NFL,BUF,HOU,away,2.5,2.5,8.5,43.0,PRIMARY,LIVE,+2.5,DOG,,2,0.6790759056139628,0.07,0.7490759056139629,True,-3,22,19,WIN,1.0,5.5,40.5-43,>=74%,archived_reference_line,1
