season,week,n_qualifying_legs,n_top_legs,constructible,n_tickets_2team,n_tickets_3team,n_legs_winning
2023,1,2,2,True,1,0,1
2023,2,6,4,True,6,4,5
2023,3,4,4,True,6,4,2
2023,4,3,3,True,3,1,1
2023,5,4,4,True,6,4,4
2023,6,1,1,False,0,0,1
2023,7,4,4,True,6,4,3
2023,8,3,3,True,3,1,2
2023,9,3,3,True,3,1,2
2023,10,1,1,False,0,0,0
2023,11,5,4,True,6,4,4
2023,12,3,3,True,3,1,1
2023,13,1,1,False,0,0,1
2023,14,3,3,True,3,1,3
2023,15,2,2,True,1,0,1
2023,16,0,0,False,0,0,0
2023,17,2,2,True,1,0,2
2023,18,3,3,True,3,1,3
2023,19,2,2,True,1,0,2
2023,20,1,1,False,0,0,1
2023,21,0,0,False,0,0,0
2023,22,1,1,False,0,0,1
