block,statistic,n_tickets,observed_hit_rate,sim_mean,sim_ci_low,sim_ci_high,p_value_one_sided,n_sims,seed,n_legs,weeks,observed
2018-2023 validation,2-team hit rate,174.0,0.5977011494252874,0.5648141379310345,0.45977011494252873,0.6724137931034483,0.2900770992290077,100000,20260919,211,,
2018-2023 validation,3-team hit rate,73.0,0.5616438356164384,0.4265931506849315,0.2602739726027397,0.589041095890411,0.06807931920680793,100000,20260919,211,,
2018-2023 validation,all-win weeks,,,29.22094,22.0,37.0,0.6697133028669713,100000,20260919,211,64.0,28.0
2018-2023 validation,leg wins,,,158.19196,146.0,170.0,,100000,20260919,211,,155.0
2024,2-team hit rate,29.0,0.5172413793103449,0.5669044827586207,0.3103448275862069,0.8275862068965517,0.6971730282697173,100000,20260919,41,,
2024,3-team hit rate,10.0,0.3,0.43373900000000004,0.1,0.8,0.7994420055799442,100000,20260919,41,,
2024,all-win weeks,,,5.43493,2.0,9.0,0.8777812221877781,100000,20260919,41,12.0,4.0
2024,leg wins,,,30.81164,25.0,36.0,,100000,20260919,41,,31.0
2025,2-team hit rate,63.0,0.6190476190476191,0.5680784126984126,0.38095238095238093,0.7619047619047619,0.33020669793302065,100000,20260919,63,,
2025,3-team hit rate,36.0,0.5277777777777778,0.4281913888888889,0.19444444444444445,0.6944444444444444,0.25418745812541876,100000,20260919,63,,
2025,all-win weeks,,,5.33928,2.0,9.0,0.04033959660403396,100000,20260919,63,15.0,9.0
2025,leg wins,,,47.33478,40.0,54.0,,100000,20260919,63,,49.0
SUPPLEMENTARY 2018-2025 all years,2-team hit rate,266.0,0.5939849624060151,0.5657507518796993,0.4774436090225564,0.6541353383458647,0.2768772312276877,100000,20260919,315,,
SUPPLEMENTARY 2018-2025 all years,3-team hit rate,119.0,0.5294117647058824,0.42757352941176474,0.3025210084033613,0.5630252100840336,0.07622923770762292,100000,20260919,315,,
SUPPLEMENTARY 2018-2025 all years,all-win weeks,,,39.98575,31.0,49.0,0.4538754612453875,100000,20260919,315,91.0,41.0
SUPPLEMENTARY 2018-2025 all years,leg wins,,,236.32747,221.0,251.0,,100000,20260919,315,,235.0
