scheme,block,statistic,n_tickets,observed_hit_rate,perm_mean,perm_ci_low,perm_ci_high,p_value_one_sided,n_sims,seed,n_legs,strata,permutable_strata,legs_held_fixed,weeks,observed
P1,2018-2023 validation,2-team hit rate,174.0,0.5977011494252874,0.5309371264367816,0.47701149425287354,0.5919540229885057,0.01992980070199298,100000,20260919,211,6,6,0,,
P1,2018-2023 validation,3-team hit rate,73.0,0.5616438356164384,0.38138616438356154,0.2602739726027397,0.5068493150684932,0.0051299487005129945,100000,20260919,211,6,6,0,,
P1,2018-2023 validation,all-win weeks,,,27.2323,23.0,32.0,0.45307546924530756,100000,20260919,211,6,6,0,64.0,28.0
P1,2024,2-team hit rate,29.0,0.5172413793103449,0.5672679310344828,0.41379310344827586,0.7241379310344828,0.8040519594804052,100000,20260919,41,1,1,0,,
P1,2024,3-team hit rate,10.0,0.3,0.42183,0.2,0.8,0.8503414965850341,100000,20260919,41,1,1,0,,
P1,2024,all-win weeks,,,5.453,3.0,8.0,0.968310316896831,100000,20260919,41,1,1,0,12.0,4.0
P1,2025,2-team hit rate,63.0,0.6190476190476191,0.6018582539682539,0.5079365079365079,0.7142857142857143,0.4196958030419696,100000,20260919,63,1,1,0,,
P1,2025,3-team hit rate,36.0,0.5277777777777778,0.4632872222222222,0.2777777777777778,0.6666666666666666,0.28614713852861473,100000,20260919,63,1,1,0,,
P1,2025,all-win weeks,,,5.84318,4.0,8.0,0.011589884101158989,100000,20260919,63,1,1,0,15.0,9.0
P1,SUPPLEMENTARY 2018-2025 all years,2-team hit rate,266.0,0.5939849624060151,0.5516913157894737,0.5037593984962406,0.6015037593984962,0.055069449305506946,100000,20260919,315,8,8,0,,
P1,SUPPLEMENTARY 2018-2025 all years,3-team hit rate,119.0,0.5294117647058824,0.4097119327731093,0.31092436974789917,0.5126050420168067,0.013189868101318987,100000,20260919,315,8,8,0,,
P1,SUPPLEMENTARY 2018-2025 all years,all-win weeks,,,38.51954,33.0,44.0,0.24932750672493276,100000,20260919,315,8,8,0,91.0,41.0
P2,2018-2023 validation,2-team hit rate,174.0,0.5977011494252874,0.525859827586207,0.47126436781609193,0.5862068965517241,0.012069879301206989,100000,20260919,211,12,12,0,,
P2,2018-2023 validation,3-team hit rate,73.0,0.5616438356164384,0.3722924657534246,0.2602739726027397,0.5068493150684932,0.003069969300306997,100000,20260919,211,12,12,0,,
P2,2018-2023 validation,all-win weeks,,,27.19573,23.0,32.0,0.44751552484475154,100000,20260919,211,12,12,0,64.0,28.0
P2,2024,2-team hit rate,29.0,0.5172413793103449,0.5636841379310344,0.41379310344827586,0.7241379310344828,0.7934620653793462,100000,20260919,41,2,2,0,,
P2,2024,3-team hit rate,10.0,0.3,0.42712199999999995,0.2,0.8,0.8542114578854212,100000,20260919,41,2,2,0,,
P2,2024,all-win weeks,,,5.29287,3.0,7.0,0.959620403795962,100000,20260919,41,2,2,0,12.0,4.0
P2,2025,2-team hit rate,63.0,0.6190476190476191,0.5911704761904761,0.49206349206349204,0.6984126984126984,0.34053659463405367,100000,20260919,63,2,2,0,,
P2,2025,3-team hit rate,36.0,0.5277777777777778,0.44818972222222225,0.2777777777777778,0.6388888888888888,0.23195768042319576,100000,20260919,63,2,2,0,,
P2,2025,all-win weeks,,,5.81587,4.0,8.0,0.011249887501124989,100000,20260919,63,2,2,0,15.0,9.0
P2,SUPPLEMENTARY 2018-2025 all years,2-team hit rate,266.0,0.5939849624060151,0.5454996992481203,0.5,0.5939849624060151,0.03009969900300997,100000,20260919,315,16,16,0,,
P2,SUPPLEMENTARY 2018-2025 all years,3-team hit rate,119.0,0.5294117647058824,0.3998679831932773,0.3025210084033613,0.5042016806722689,0.007469925300746993,100000,20260919,315,16,16,0,,
P2,SUPPLEMENTARY 2018-2025 all years,all-win weeks,,,38.31283,33.0,44.0,0.22575774242257576,100000,20260919,315,16,16,0,91.0,41.0
