label,procedure,price_2team,price_3team,eligible_positive_ev_tickets,tickets_selected,betting_weeks,weeks_with_construction,zero_bet_weeks,units_staked,wins,losses,outcome_hit_rate,hypothetical_profit_loss,hypothetical_roi,block,scenario,american_2team,american_3team,boot_weeks,roi_ci_low,roi_ci_high,boot_note
,frozen greedy + cap,1.0,,174,138,64,64,30,138.0,77,61,0.5579710144927537,16.0,0.11594202898550725,2018-2023 validation,2-team only,-100.0,,64,-0.11594202898550725,0.3384615384615385,"Week-cluster bootstrap, 50,000 resamples, seed 20260919."
,frozen greedy + cap,0.9090909090909091,,174,138,64,64,30,138.0,77,61,0.5579710144927537,8.999999999999996,0.0652173913043478,2018-2023 validation,2-team only,-110.0,,64,-0.15612648221343875,0.27762237762237757,"Week-cluster bootstrap, 50,000 resamples, seed 20260919."
,frozen greedy + cap,0.8333333333333334,,158,124,61,64,33,124.0,66,58,0.532258064516129,-2.9999999999999956,-0.02419354838709674,2018-2023 validation,2-team only,-120.0,,61,-0.25072463768115943,0.19696969696969702,"Week-cluster bootstrap, 50,000 resamples, seed 20260919."
,frozen greedy + cap,0.7692307692307693,,74,63,30,64,64,63.0,38,25,0.6031746031746031,4.230769230769232,0.06715506715506717,2018-2023 validation,2-team only,-130.0,,30,-0.2203389830508474,0.33417402269861296,"Week-cluster bootstrap, 50,000 resamples, seed 20260919."
,frozen greedy + cap,0.7142857142857143,,21,19,11,64,83,19.0,10,9,0.5263157894736842,-1.8571428571428568,-0.09774436090225562,2018-2023 validation,2-team only,-140.0,,11,-0.5714285714285714,0.3877551020408162,"Week-cluster bootstrap, 50,000 resamples, seed 20260919."
,frozen greedy + cap,0.6666666666666666,,4,4,3,64,91,4.0,2,2,0.5,-0.6666666666666669,-0.1666666666666667,2018-2023 validation,2-team only,-150.0,,3,,,Only 3 betting weeks: too few for a meaningful interval. No confidence interval is reported.
,frozen greedy + cap,,1.0,0,0,0,64,94,0.0,0,0,,0.0,,2018-2023 validation,3-team only,,100.0,0,,,Only 0 betting weeks: too few for a meaningful interval. No confidence interval is reported.
,frozen greedy + cap,,1.1,0,0,0,64,94,0.0,0,0,,0.0,,2018-2023 validation,3-team only,,110.0,0,,,Only 0 betting weeks: too few for a meaningful interval. No confidence interval is reported.
,frozen greedy + cap,,1.2,2,2,2,64,92,2.0,1,1,0.5,0.19999999999999996,0.09999999999999998,2018-2023 validation,3-team only,,120.0,2,,,Only 2 betting weeks: too few for a meaningful interval. No confidence interval is reported.
,frozen greedy + cap,,1.3,20,16,11,64,83,16.0,6,10,0.375,-2.1999999999999997,-0.13749999999999998,2018-2023 validation,3-team only,,130.0,11,-0.7125,0.5333333333333333,"Week-cluster bootstrap, 50,000 resamples, seed 20260919."
,frozen greedy + cap,,1.4,53,36,26,64,68,36.0,19,17,0.5277777777777778,9.599999999999998,0.2666666666666666,2018-2023 validation,3-team only,,140.0,26,-0.20000000000000004,0.7333333333333332,"Week-cluster bootstrap, 50,000 resamples, seed 20260919."
,frozen greedy + cap,,1.5,72,48,36,64,58,48.0,25,23,0.5208333333333334,14.5,0.3020833333333333,2018-2023 validation,3-team only,,150.0,36,-0.11764705882352941,0.71875,"Week-cluster bootstrap, 50,000 resamples, seed 20260919."
,frozen greedy + cap,,1.6,73,49,37,64,57,49.0,26,23,0.5306122448979592,18.600000000000005,0.379591836734694,2018-2023 validation,3-team only,,160.0,37,-0.054545454545454515,0.8040816326530615,"Week-cluster bootstrap, 50,000 resamples, seed 20260919."
,frozen greedy + cap,,1.7,73,49,37,64,57,49.0,26,23,0.5306122448979592,21.2,0.43265306122448977,2018-2023 validation,3-team only,,170.0,37,-0.018181818181818195,0.8734693877551021,"Week-cluster bootstrap, 50,000 resamples, seed 20260919."
,frozen greedy + cap,,1.8,73,49,37,64,57,49.0,26,23,0.5306122448979592,23.8,0.4857142857142857,2018-2023 validation,3-team only,,180.0,37,0.018181818181818184,0.942857142857143,"Week-cluster bootstrap, 50,000 resamples, seed 20260919."
,frozen greedy + cap,1.0,1.0,174,138,64,64,30,138.0,77,61,0.5579710144927537,16.0,0.11594202898550725,2018-2023 validation,combined (paired),-100.0,100.0,64,-0.11594202898550725,0.3384615384615385,"Week-cluster bootstrap, 50,000 resamples, seed 20260919."
,frozen greedy + cap,0.9090909090909091,1.1,174,138,64,64,30,138.0,77,61,0.5579710144927537,8.999999999999996,0.0652173913043478,2018-2023 validation,combined (paired),-110.0,110.0,64,-0.15612648221343875,0.27762237762237757,"Week-cluster bootstrap, 50,000 resamples, seed 20260919."
,frozen greedy + cap,0.8333333333333334,1.2,160,124,61,64,33,124.0,66,58,0.532258064516129,-2.9999999999999956,-0.02419354838709674,2018-2023 validation,combined (paired),-120.0,120.0,61,-0.25072463768115943,0.19696969696969702,"Week-cluster bootstrap, 50,000 resamples, seed 20260919."
,frozen greedy + cap,0.7692307692307693,1.3,94,61,30,64,64,61.0,37,24,0.6065573770491803,4.992307692307692,0.08184110970996217,2018-2023 validation,combined (paired),-130.0,130.0,30,-0.20248520710059173,0.3482758620689655,"Week-cluster bootstrap, 50,000 resamples, seed 20260919."
,frozen greedy + cap,0.7142857142857143,1.4,74,42,27,64,67,42.0,22,20,0.5238095238095238,8.74285714285714,0.2081632653061224,2018-2023 validation,combined (paired),-140.0,140.0,27,-0.2351648351648352,0.644155844155844,"Week-cluster bootstrap, 50,000 resamples, seed 20260919."
