block,american_2team,american_3team,tickets_selected,n_2team,n_3team,units,wins,outcome_hit_rate,hypothetical_pl,hypothetical_roi,roi_ci_low,roi_ci_high
2018-2023 validation,-110,120,138,138,0,138.0,77,0.5579710144927537,8.999999999999996,0.0652173913043478,-0.15612648221343875,0.27762237762237757
2018-2023 validation,-110,140,138,138,0,138.0,77,0.5579710144927537,8.999999999999996,0.0652173913043478,-0.15612648221343875,0.27762237762237757
2018-2023 validation,-110,160,113,64,49,113.0,58,0.5132743362831859,15.690909090909095,0.13885760257441676,-0.14580048142756238,0.4161264822134388
2018-2023 validation,-110,180,113,64,49,113.0,58,0.5132743362831859,20.890909090909094,0.184875301689461,-0.11467304625199363,0.47760532150776047
2018-2023 validation,-120,120,124,124,0,124.0,66,0.532258064516129,-2.9999999999999956,-0.02419354838709674,-0.25072463768115943,0.19696969696969702
2018-2023 validation,-120,140,122,117,5,122.0,65,0.5327868852459017,-1.6999999999999944,-0.01393442622950815,-0.2419444444444444,0.2097892182879674
2018-2023 validation,-120,160,109,60,49,109.0,55,0.5045871559633027,11.766666666666671,0.10795107033639148,-0.181159420289855,0.3920410608933843
2018-2023 validation,-120,180,109,60,49,109.0,55,0.5045871559633027,16.96666666666667,0.15565749235474008,-0.148518196414236,0.4542056074766355
2018-2023 validation,-130,120,63,63,0,63.0,38,0.6031746031746031,4.230769230769232,0.06715506715506717,-0.2203389830508474,0.33417402269861296
2018-2023 validation,-130,140,56,21,35,56.0,30,0.5357142857142857,9.061538461538461,0.16181318681318682,-0.21623931623931625,0.5340659340659341
2018-2023 validation,-130,160,69,20,49,69.0,36,0.5217391304347826,16.292307692307695,0.2361204013377927,-0.12904707233065438,0.5993311036789299
2018-2023 validation,-130,180,69,20,49,69.0,36,0.5217391304347826,21.492307692307698,0.3114827201783724,-0.07767086139666783,0.6981047937569678
2018-2023 validation,-140,120,19,19,0,19.0,10,0.5263157894736842,-1.8571428571428568,-0.09774436090225562,-0.5714285714285714,0.3877551020408162
2018-2023 validation,-140,140,42,6,36,42.0,22,0.5238095238095238,8.74285714285714,0.2081632653061224,-0.2351648351648352,0.644155844155844
2018-2023 validation,-140,160,55,6,49,55.0,29,0.5272727272727272,17.742857142857147,0.32259740259740266,-0.08873282343790503,0.7319480519480521
2018-2023 validation,-140,180,55,6,49,55.0,29,0.5272727272727272,22.94285714285715,0.41714285714285726,-0.02556390977443608,0.8555844155844154
2024,-110,120,26,26,0,26.0,13,0.5,-1.1818181818181817,-0.04545454545454545,-0.41258741258741255,0.35227272727272724
2024,-110,140,26,26,0,26.0,13,0.5,-1.1818181818181817,-0.04545454545454545,-0.41258741258741255,0.35227272727272724
2024,-110,160,20,12,8,20.0,8,0.4,-2.654545454545454,-0.1327272727272727,-0.6445454545454545,0.4136363636363637
2024,-110,180,20,12,8,20.0,8,0.4,-2.0545454545454542,-0.10272727272727271,-0.6420454545454546,0.4636363636363637
2024,-120,120,25,25,0,25.0,12,0.48,-2.999999999999999,-0.11999999999999997,-0.5175438596491228,0.29012345679012347
2024,-120,140,24,22,2,24.0,12,0.5,-1.9999999999999991,-0.0833333333333333,-0.4907407407407407,0.32758620689655177
2024,-120,160,20,12,8,20.0,8,0.4,-3.0333333333333323,-0.15166666666666662,-0.6562499999999999,0.3833333333333334
2024,-120,180,20,12,8,20.0,8,0.4,-2.4333333333333327,-0.12166666666666663,-0.6460317460317461,0.4333333333333334
2024,-130,120,8,8,0,8.0,3,0.375,-2.6923076923076925,-0.33653846153846156,,
2024,-130,140,8,4,4,8.0,4,0.5,0.33846153846153837,0.042307692307692296,,
2024,-130,160,12,4,8,12.0,5,0.4166666666666667,-0.6615384615384613,-0.055128205128205106,,
2024,-130,180,12,4,8,12.0,5,0.4166666666666667,-0.06153846153846121,-0.0051282051282051004,,
2024,-140,120,7,7,0,7.0,2,0.2857142857142857,-3.571428571428571,-0.5102040816326531,,
2024,-140,140,6,2,4,6.0,3,0.5,0.5142857142857141,0.08571428571428569,,
2024,-140,160,10,2,8,10.0,4,0.4,-0.48571428571428543,-0.04857142857142854,,
2024,-140,180,10,2,8,10.0,4,0.4,0.11428571428571443,0.011428571428571444,,
2025,-110,120,39,39,0,39.0,25,0.6410256410256411,8.727272727272725,0.22377622377622372,-0.23636363636363636,0.6511056511056511
